job_title,company,location,description,skills_list,date_posted,extracted_skills
Software Engineer,Capgemini,Pune,"Looking for a candidate with experience in Power BI, React, Pandas, NumPy, Hadoop, Python.","Power BI, React, Pandas, NumPy, Hadoop, Python",2023-03-19,"['python', 'react', 'pandas', 'numpy', 'power bi', 'hadoop']"
Data Scientist,Accenture,Pune,"Looking for a candidate with experience in Docker, Deep Learning, Tableau, Hadoop.","Docker, Deep Learning, Tableau, Hadoop",2024-09-25,"['docker', 'deep learning', 'tableau', 'hadoop']"
Data Scientist,Oracle,Hyderabad,"Looking for a candidate with experience in PyTorch, Python, Tableau, Deep Learning, React, Hadoop, Docker.","PyTorch, Python, Tableau, Deep Learning, React, Hadoop, Docker",2024-07-29,"['python', 'docker', 'pytorch', 'deep learning', 'react', 'tableau', 'hadoop']"
Cloud Engineer,Oracle,Delhi,"Looking for a candidate with experience in AWS, React, Power BI, Deep Learning, Node.js, Spark, Pandas.","AWS, React, Power BI, Deep Learning, Node.js, Spark, Pandas",2024-07-28,"['aws', 'deep learning', 'react', 'node.js', 'pandas', 'power bi', 'spark']"
Backend Developer,Google,Pune,"Looking for a candidate with experience in Power BI, Hadoop, Deep Learning, Spark, Docker, AWS.","Power BI, Hadoop, Deep Learning, Spark, Docker, AWS",2023-04-22,"['aws', 'docker', 'deep learning', 'power bi', 'spark', 'hadoop']"
Software Engineer,Amazon,Mumbai,"Looking for a candidate with experience in NLP, NumPy, Python, PyTorch, React, Node.js, Machine Learning.","NLP, NumPy, Python, PyTorch, React, Node.js, Machine Learning",2023-05-01,"['python', 'pytorch', 'machine learning', 'react', 'node.js', 'numpy', 'nlp']"
Backend Developer,Microsoft,Hyderabad,"Looking for a candidate with experience in Node.js, React, Tableau, NLP.","Node.js, React, Tableau, NLP",2024-10-08,"['react', 'node.js', 'tableau', 'nlp']"
Software Engineer,Amazon,Pune,"Looking for a candidate with experience in Machine Learning, Scikit-learn, AWS, Java.","Machine Learning, Scikit-learn, AWS, Java",2024-08-12,"['java', 'aws', 'machine learning', 'scikit-learn']"
Data Scientist,IBM,Bangalore,"Looking for a candidate with experience in PyTorch, Kubernetes, Node.js, Pandas, Tableau, Scikit-learn.","PyTorch, Kubernetes, Node.js, Pandas, Tableau, Scikit-learn",2024-03-05,"['kubernetes', 'pytorch', 'node.js', 'pandas', 'scikit-learn', 'tableau']"
Cloud Engineer,IBM,Bangalore,"Looking for a candidate with experience in PyTorch, Node.js, Pandas, Hadoop, Spark, NumPy.","PyTorch, Node.js, Pandas, Hadoop, Spark, NumPy",2024-01-31,"['pytorch', 'node.js', 'pandas', 'numpy', 'spark', 'hadoop']"
NLP Engineer,Google,Chennai,"Looking for a candidate with experience in Docker, Python, TensorFlow, Tableau, Pandas, Node.js, Power BI.","Docker, Python, TensorFlow, Tableau, Pandas, Node.js, Power BI",2023-05-30,"['python', 'docker', 'tensorflow', 'node.js', 'pandas', 'tableau', 'power bi']"
Data Analyst,Amazon,Mumbai,"Looking for a candidate with experience in Deep Learning, TensorFlow, PyTorch, Power BI, Hadoop, NumPy.","Deep Learning, TensorFlow, PyTorch, Power BI, Hadoop, NumPy",2023-08-18,"['tensorflow', 'pytorch', 'deep learning', 'numpy', 'power bi', 'hadoop']"
NLP Engineer,Meta,Delhi,"Looking for a candidate with experience in Hadoop, Java, Spark, NLP, AWS, Power BI.","Hadoop, Java, Spark, NLP, AWS, Power BI",2024-08-14,"['java', 'aws', 'power bi', 'spark', 'hadoop', 'nlp']"
Full Stack Developer,Flipkart,Bangalore,"Looking for a candidate with experience in Docker, Kubernetes, AWS, NLP, Tableau, SQL, Pandas.","Docker, Kubernetes, AWS, NLP, Tableau, SQL, Pandas",2023-07-22,"['sql', 'aws', 'docker', 'kubernetes', 'pandas', 'tableau', 'nlp']"
Data Scientist,Adobe,Mumbai,"Looking for a candidate with experience in Deep Learning, Node.js, AWS, Power BI.","Deep Learning, Node.js, AWS, Power BI",2024-10-29,"['aws', 'deep learning', 'node.js', 'power bi']"
Data Scientist,TCS,Hyderabad,"Looking for a candidate with experience in Node.js, SQL, Pandas, Tableau, Spark, NumPy.","Node.js, SQL, Pandas, Tableau, Spark, NumPy",2024-03-28,"['sql', 'node.js', 'pandas', 'numpy', 'tableau', 'spark']"
Data Analyst,Meta,Chennai,"Looking for a candidate with experience in Spark, Java, Node.js, Scikit-learn.","Spark, Java, Node.js, Scikit-learn",2023-02-02,"['java', 'node.js', 'scikit-learn', 'spark']"
Full Stack Developer,TCS,Delhi,"Looking for a candidate with experience in Kubernetes, Docker, Tableau, Power BI, AWS.","Kubernetes, Docker, Tableau, Power BI, AWS",2024-08-03,"['aws', 'docker', 'kubernetes', 'tableau', 'power bi']"
Data Analyst,Flipkart,Chennai,"Looking for a candidate with experience in Kubernetes, Java, Node.js, Hadoop.","Kubernetes, Java, Node.js, Hadoop",2024-05-23,"['java', 'kubernetes', 'node.js', 'hadoop']"
Data Scientist,Google,Hyderabad,"Looking for a candidate with experience in NumPy, NLP, AWS, Node.js, Kubernetes, Deep Learning.","NumPy, NLP, AWS, Node.js, Kubernetes, Deep Learning",2023-09-26,"['aws', 'kubernetes', 'deep learning', 'node.js', 'numpy', 'nlp']"
AI Engineer,Adobe,Pune,"Looking for a candidate with experience in Machine Learning, SQL, Python, Scikit-learn, AWS, PyTorch.","Machine Learning, SQL, Python, Scikit-learn, AWS, PyTorch",2023-02-23,"['python', 'sql', 'aws', 'pytorch', 'machine learning', 'scikit-learn']"
Cloud Engineer,TCS,Bangalore,"Looking for a candidate with experience in Power BI, Scikit-learn, AWS, NumPy, Tableau, Hadoop, Python.","Power BI, Scikit-learn, AWS, NumPy, Tableau, Hadoop, Python",2024-01-05,"['python', 'aws', 'numpy', 'scikit-learn', 'tableau', 'power bi', 'hadoop']"
Machine Learning Engineer,Flipkart,Hyderabad,"Looking for a candidate with experience in Scikit-learn, Node.js, TensorFlow, Tableau.","Scikit-learn, Node.js, TensorFlow, Tableau",2023-10-25,"['tensorflow', 'node.js', 'scikit-learn', 'tableau']"
Machine Learning Engineer,Google,Mumbai,"Looking for a candidate with experience in SQL, NLP, React, Spark.","SQL, NLP, React, Spark",2023-02-28,"['sql', 'react', 'spark', 'nlp']"
AI Engineer,Accenture,Delhi,"Looking for a candidate with experience in Docker, Tableau, React, NumPy, Scikit-learn.","Docker, Tableau, React, NumPy, Scikit-learn",2024-09-20,"['docker', 'react', 'numpy', 'scikit-learn', 'tableau']"
Cloud Engineer,TCS,Hyderabad,"Looking for a candidate with experience in Java, Deep Learning, Python, Node.js, SQL, Kubernetes.","Java, Deep Learning, Python, Node.js, SQL, Kubernetes",2023-09-01,"['python', 'java', 'sql', 'kubernetes', 'deep learning', 'node.js']"
NLP Engineer,IBM,Chennai,"Looking for a candidate with experience in Python, Docker, Power BI, Machine Learning, Spark.","Python, Docker, Power BI, Machine Learning, Spark",2024-02-16,"['python', 'docker', 'machine learning', 'power bi', 'spark']"
Machine Learning Engineer,Google,Mumbai,"Looking for a candidate with experience in NLP, Machine Learning, Power BI, TensorFlow.","NLP, Machine Learning, Power BI, TensorFlow",2023-01-19,"['tensorflow', 'machine learning', 'power bi', 'nlp']"
Software Engineer,Meta,Bangalore,"Looking for a candidate with experience in PyTorch, Tableau, Spark, Deep Learning, Scikit-learn, Hadoop, React.","PyTorch, Tableau, Spark, Deep Learning, Scikit-learn, Hadoop, React",2024-10-15,"['pytorch', 'deep learning', 'react', 'scikit-learn', 'tableau', 'spark', 'hadoop']"
Data Scientist,Amazon,Pune,"Looking for a candidate with experience in Java, Power BI, Machine Learning, Hadoop.","Java, Power BI, Machine Learning, Hadoop",2024-04-12,"['java', 'machine learning', 'power bi', 'hadoop']"
Data Analyst,Infosys,Bangalore,"Looking for a candidate with experience in Deep Learning, Node.js, Python, AWS, Scikit-learn.","Deep Learning, Node.js, Python, AWS, Scikit-learn",2023-12-30,"['python', 'aws', 'deep learning', 'node.js', 'scikit-learn']"
Cloud Engineer,Google,Delhi,"Looking for a candidate with experience in Python, NLP, TensorFlow, PyTorch, Power BI, Docker.","Python, NLP, TensorFlow, PyTorch, Power BI, Docker",2024-11-30,"['python', 'docker', 'tensorflow', 'pytorch', 'power bi', 'nlp']"
Data Analyst,TCS,Pune,"Looking for a candidate with experience in Power BI, AWS, Python, TensorFlow, Kubernetes, Java.","Power BI, AWS, Python, TensorFlow, Kubernetes, Java",2023-11-19,"['python', 'java', 'aws', 'kubernetes', 'tensorflow', 'power bi']"
DevOps Engineer,Microsoft,Hyderabad,"Looking for a candidate with experience in Deep Learning, AWS, Kubernetes, Spark.","Deep Learning, AWS, Kubernetes, Spark",2023-09-30,"['aws', 'kubernetes', 'deep learning', 'spark']"
Cloud Engineer,Google,Mumbai,"Looking for a candidate with experience in TensorFlow, Python, React, Deep Learning, Spark, Tableau, NLP.","TensorFlow, Python, React, Deep Learning, Spark, Tableau, NLP",2024-11-12,"['python', 'tensorflow', 'deep learning', 'react', 'tableau', 'spark', 'nlp']"
Cloud Engineer,Capgemini,Chennai,"Looking for a candidate with experience in Tableau, Deep Learning, Python, Power BI, Scikit-learn, Kubernetes, Spark.","Tableau, Deep Learning, Python, Power BI, Scikit-learn, Kubernetes, Spark",2023-03-13,"['python', 'kubernetes', 'deep learning', 'scikit-learn', 'tableau', 'power bi', 'spark']"
Data Scientist,Microsoft,Chennai,"Looking for a candidate with experience in Machine Learning, Docker, Deep Learning, Node.js, AWS, PyTorch, Spark.","Machine Learning, Docker, Deep Learning, Node.js, AWS, PyTorch, Spark",2023-08-13,"['aws', 'docker', 'pytorch', 'machine learning', 'deep learning', 'node.js', 'spark']"
AI Engineer,IBM,Chennai,"Looking for a candidate with experience in Hadoop, React, SQL, Docker, AWS, NLP.","Hadoop, React, SQL, Docker, AWS, NLP",2024-11-09,"['sql', 'aws', 'docker', 'react', 'hadoop', 'nlp']"
Full Stack Developer,Amazon,Bangalore,"Looking for a candidate with experience in TensorFlow, Spark, AWS, NumPy, React, PyTorch.","TensorFlow, Spark, AWS, NumPy, React, PyTorch",2024-05-29,"['aws', 'tensorflow', 'pytorch', 'react', 'numpy', 'spark']"
AI Engineer,Flipkart,Delhi,"Looking for a candidate with experience in AWS, SQL, Node.js, Kubernetes, Pandas, TensorFlow, React.","AWS, SQL, Node.js, Kubernetes, Pandas, TensorFlow, React",2024-10-21,"['sql', 'aws', 'kubernetes', 'tensorflow', 'react', 'node.js', 'pandas']"
NLP Engineer,TCS,Hyderabad,"Looking for a candidate with experience in AWS, Pandas, NumPy, Hadoop, Spark, Docker.","AWS, Pandas, NumPy, Hadoop, Spark, Docker",2024-10-31,"['aws', 'docker', 'pandas', 'numpy', 'spark', 'hadoop']"
Data Analyst,Adobe,Bangalore,"Looking for a candidate with experience in Deep Learning, Machine Learning, Hadoop, Node.js, SQL, NumPy, Pandas.","Deep Learning, Machine Learning, Hadoop, Node.js, SQL, NumPy, Pandas",2023-09-14,"['sql', 'machine learning', 'deep learning', 'node.js', 'pandas', 'numpy', 'hadoop']"
Machine Learning Engineer,Amazon,Bangalore,"Looking for a candidate with experience in SQL, React, PyTorch, Power BI, Java, AWS.","SQL, React, PyTorch, Power BI, Java, AWS",2024-05-14,"['java', 'sql', 'aws', 'pytorch', 'react', 'power bi']"
